691511.2314, 5147378.6414
691511.3835, 5147379.3921
691511.4052, 5147380.1850
691511.4052, 5147380.1850
691511.4039, 5147380.9850
691511.3945, 5147381.7850
691511.3692, 5147382.5850
691511.3199, 5147383.3850
691511.2385, 5147384.1850
691511.1172, 5147384.9850
691510.9479, 5147385.7850
691510.7225, 5147386.5850
691510.4332, 5147387.3850
691510.0719, 5147388.1850
691510.0719, 5147388.1850
691509.6345, 5147388.9823
691509.1332, 5147389.7637
691508.5839, 5147390.5130
691508.0025, 5147391.2143
691507.4052, 5147391.8517
691506.8079, 5147392.4090
691506.2265, 5147392.8703
691505.6772, 5147393.2197
691505.1759, 5147393.4410
691504.7385, 5147393.5183
691504.7385, 5147393.5183
691504.3772, 5147393.4410
691504.0879, 5147393.2197
691503.8625, 5147392.8703
691503.6932, 5147392.4090
691503.5719, 5147391.8517
691503.4905, 5147391.2143
691503.4412, 5147390.5130
691503.4159, 5147389.7637
691503.4065, 5147388.9823
691503.4052, 5147388.1850
691503.4052, 5147388.1850
691503.4052, 5147387.3850
691503.4052, 5147386.5850
691503.4052, 5147385.7850
691503.4052, 5147384.9850
691503.4052, 5147384.1850
691503.4052, 5147383.3850
691503.4052, 5147382.5850
691503.4052, 5147381.7850
691503.4052, 5147380.9850
691503.4052, 5147380.1850
691503.4052, 5147380.1850
691503.4052, 5147379.3850
691503.4052, 5147378.5850
691503.4052, 5147377.7850
691503.4052, 5147376.9850
691503.4052, 5147376.1850
691503.4052, 5147375.3850
691503.4052, 5147374.5850
691503.4052, 5147373.7850
691503.4052, 5147372.9850
691503.4052, 5147372.1850
691503.4052, 5147372.1850
691503.4039, 5147371.3850
691503.3945, 5147370.5850
691503.3692, 5147369.7850
691503.3199, 5147368.9850
691503.2385, 5147368.1850
691503.1172, 5147367.3850
691502.9479, 5147366.5850
691502.7225, 5147365.7850
691502.4332, 5147364.9850
691502.0719, 5147364.1850
691502.0719, 5147364.1850
691501.6345, 5147363.3877
691501.1332, 5147362.6063
691500.5839, 5147361.8570
691500.0025, 5147361.1557
691499.4052, 5147360.5183
691498.8079, 5147359.9610
691498.2265, 5147359.4997
691497.6772, 5147359.1503
691497.1759, 5147358.9290
691496.7385, 5147358.8517
691496.7385, 5147358.8517
691496.3772, 5147358.9290
691496.0879, 5147359.1503
691495.8625, 5147359.4997
691495.6932, 5147359.9610
691495.5719, 5147360.5183
691495.4905, 5147361.1557
691495.4412, 5147361.8570
691495.4159, 5147362.6063
691495.4065, 5147363.3877
691495.4052, 5147364.1850
691495.4052, 5147364.1850
691495.4052, 5147364.9850
691495.4052, 5147365.7850
691495.4052, 5147366.5850
691495.4052, 5147367.3850
691495.4052, 5147368.1850
691495.4052, 5147368.9850
691495.4052, 5147369.7850
691495.4052, 5147370.5850
691495.4052, 5147371.3850
691495.4052, 5147372.1850
691495.4052, 5147372.1850
691495.4052, 5147372.9850
691495.4052, 5147373.7850
691495.4052, 5147374.5850
691495.4052, 5147375.3850
691495.4052, 5147376.1850
691495.4052, 5147376.9850
